MAC,role,site,last_seen,state,device_name,lat,lon,unit,ip
24:81:07:28:10:40,master,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Master,-33.81752217,151.0583562,MSB,10.10.9.1
D4:AD:20:A6:CC:DE,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave21,-33.82852217,151.0623562,101,10.10.9.21
D4:AD:20:A6:CC:C4,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave22,-33.82452217,151.0683562,102,10.10.9.22
D4:AD:20:A6:CC:C6,slave,Morriset,09-03-2026 11:49:42,NORMAL,SKE-Slave23,-33.82452217,151.0683562,103,10.10.9.23
D4:AD:20:A6:CC:DC,slave,Morriset,09-03-2026 11:49:40,NORMAL,SKE-Slave24,-33.82452217,151.0683562,104,10.10.9.24
D4:AD:20:A6:CC:C8,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave25,-33.82452217,151.0683562,105,10.10.9.25
D4:AD:20:A6:CC:CA,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave26,-33.82452217,151.0683562,107,10.10.9.26
D4:AD:20:A6:CC:D4,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave27,-33.82452217,151.0683562,116,10.10.9.27
D4:AD:20:A6:CC:D0,slave,Morriset,09-03-2026 11:49:40,NORMAL,SKE-Slave28,-33.82452217,151.0683562,113,10.10.9.28
D4:AD:20:A6:CC:D2,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave29,-33.82452217,151.0683562,115,10.10.9.29
D4:AD:20:A6:CC:D6,slave,Morriset,22-01-2026 09:29:22,NORMAL,SKE-Slave30,-33.82452217,151.0683562,10.10.9.30,10.10.9.30
D4:AD:20:A6:CC:94,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave31,-33.82452217,151.0683562,120,10.10.9.31
D4:AD:20:A6:CC:CC,slave,Morriset,7/3/2025 19:32,NORMAL,SKE-Slave32,-33.82452217,151.0683562,118,10.10.9.90
D4:AD:20:A6:CC:CE,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave33,-33.82452217,151.0683562,10.10.9.33,10.10.9.33
D4:AD:20:A6:CC:80,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave34,-33.82452217,151.0683562,112,10.10.9.34
D4:AD:20:A6:CC:88,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave35,-33.82452217,151.0683562,122,10.10.9.35
D4:AD:20:A6:CC:6E,slave,Morriset,4/4/2025 12:53,NORMAL,SKE-Slave36,-33.82452217,151.0683562,128,10.10.9.36
D4:AD:20:A6:CC:62,slave,Morriset,09-03-2026 11:49:40,NORMAL,SKE-Slave37,-33.82452217,151.0683562,110,10.10.9.37
D4:AD:20:A6:CC:DA,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave38,-33.82452217,151.0683562,119,10.10.9.38
D4:AD:20:A6:CC:D8,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave39,-33.82452217,151.0683562,111,10.10.9.39
D4:AD:20:A6:CC:56,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave40,-33.82452217,151.0683562,121,10.10.9.40
D4:AD:20:A6:CC:50,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave41,-33.82452217,151.0683562,114,10.10.9.41
D4:AD:20:A6:CC:6C,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave42,-33.82452217,151.0683562,129,10.10.9.42
D4:AD:20:A6:CC:72,slave,Morriset,07-03-2026 10:24:30,NORMAL,SKE-Slave43,-33.82452217,151.0683562,125,10.10.9.43
D4:AD:20:A6:CC:86,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave44,-33.82452217,151.0683562,10.10.9.44,10.10.9.44
D4:AD:20:A6:CC:84,slave,Morriset,09-03-2026 11:49:42,NORMAL,SKE-Slave45,-33.82452217,151.0683562,126,10.10.9.45
D4:AD:20:A6:CC:5C,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave46,-33.82452217,151.0683562,149,10.10.9.46
D4:AD:20:A6:CC:52,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave47,-33.82452217,151.0683562,132,10.10.9.47
D4:AD:20:A6:CC:7E,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave48,-33.82452217,151.0683562,152,10.10.9.48
D4:AD:20:A6:CC:82,slave,Morriset,09-03-2026 11:49:39,NORMAL,SKE-Slave49,-33.82452217,151.0683562,124,10.10.9.49
D4:AD:20:A6:CC:5E,slave,Morriset,09-03-2026 11:49:41,NORMAL,SKE-Slave50,-33.82452217,151.0683562,123,10.10.9.50
